Name,Level,Slots,Role,PrimaryDef,SecondaryDef,Action,Armor,BattleTactic,FightingStyle,Abilities,Roster,Archetype,DamageBonus,AccuracyBonus,DefenseBonus,Notes
Marsh Viper Scout,1,1,Striker,Bodily,Parry/Dodge,Offensive Melee,Light,Hit Whatever,Flurry,,FALSE,Neutral,,,,"Was the Level 1 Roster pick (4x clone, Flurry) - superseded by the Mixed-Style 4-archetype mix (Hedge Knight/Marsh Archer/Skulking Footpad/Fen Warden, see sample_enemies.py's own MIXED_ROSTER) once real drafted PCs showed on-level fights reading far too easy and every enemy defaulting to Flurry made the archer specifically read as a polarizing double-tap threat. Kept as a reference build, still reachable via get_enemy('Marsh Viper Scout')."
Ironbranch Skirmisher,2,1,Bruiser,Parry/Dodge,Mental,Ranged Spell,Light,Hit Whatever,Flurry,,TRUE,Roster,,,,Validated on-level roster (win-rate grid) - see ENEMY_ENCOUNTER_DESIGN.md Analysis section
Ironbranch Warden,3,1,Bruiser,Bodily,Mental,Ranged Weapon,Light,Assassin,Guarded,,TRUE,Roster,,,,Validated on-level roster (win-rate grid) - see ENEMY_ENCOUNTER_DESIGN.md Analysis section
Deadbough Priest,4,1,None,Bodily,Mental,Melee Spell,Light,Assassin,Flurry,,TRUE,Roster,,,,Validated on-level roster (win-rate grid) - see ENEMY_ENCOUNTER_DESIGN.md Analysis section
Deep Coven Matriarch,5,1,Striker,Mental,Bodily,Ranged Spell,Light,Assassin,Guarded,,TRUE,Roster,,,,Validated on-level roster (win-rate grid) - see ENEMY_ENCOUNTER_DESIGN.md Analysis section
Generic Level 1 Melee Fighter,1,1,None,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Neutral,,,,"No Role or Defense-tier skew on purpose - a neutral reference point for item-balancing checks, not tuned for the win-rate grid"
Generic Level 1 Power-Attack Fighter,1,1,Bruiser,,,Offensive Melee,Light,Hit Whatever,Guarded,,FALSE,Power-Attack,,,,"Bruiser role for a ""close to barbarian, not fully"" power-attack lean, still no Defense-tier pick - reference build for item-balancing checks"
Generic Level 1 Max-Damage Fighter,1,1,Striker,,,Offensive Melee,Light,Hit Whatever,Guarded,Powerful Weapon,FALSE,Max-Damage,,,,"Striker Role (accuracy+damage) plus the Powerful Weapon ability (+1 more damage, -1 accuracy/-1 Parry) - picks every damage lever this simulator has wired, at the cost of accuracy and Parry"
Generic Level 1 Ranged Caster,1,1,Strategist,,,Ranged Spell,Light,Kiting,Guarded,Powerful Spell,FALSE,Ranged Caster,,,,"Strategist Role (accuracy+Bodily+Mental) plus Powerful Spell (+1 damage, own Parry set to -99/unusable) - a backline spellcaster that's given up on melee defense entirely. Kiting only actually does anything in movement mode (run_fight(..., movement=True)) - ignored otherwise, same as every BattleTactic value the non-movement sim can't act on."
Generic Level 1 Tank,1,1,Tank,,,Defensive Melee,Heavy,Hit Whatever,Guarded,Durable;Enhanced Health,FALSE,Tank,,,,"Tank Role (the most defensively-loaded Role) plus Heavy Armor, Durable (Protected regen), and Enhanced Health (+3 HP) - reads as a real wall on purpose, representing what a party would have to specifically prioritize focusing down"
